time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,
1414696043637,-1.00,0.00,8.87,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.04,1.02,1.95,False,5,0,0,750.00,System,0.02,0.01,0.5,180.00,
1414696043906,-1.00,0.00,-10.84,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.07,1.01,3.11,False,5,0,0,750.00,System,0.05,0.02,0.5,180.00,
1414696044138,-1.00,0.00,-16.69,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.19,0.99,2.98,False,5,0,0,750.00,System,0.10,0.04,0.5,180.00,
1414696044251,-1.00,0.00,-6.74,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.00,1.00,3.16,False,5,0,0,750.00,System,0.10,0.04,0.5,180.00,
1414696044370,-1.00,0.00,-9.86,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.64,1.03,5.89,False,5,0,0,750.00,System,0.10,0.05,0.5,180.00,
1414696044489,1.00,0.00,-44.23,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.76,0.98,7.66,False,5,0,0,750.00,System,0.32,0.12,0.5,180.00,
1414696044608,1.00,0.00,-60.26,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.73,0.91,6.76,False,5,0,0,750.00,System,0.47,0.19,0.5,180.00,
1414696044719,-1.00,0.00,-32.61,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.64,0.95,4.64,False,5,0,0,750.00,System,0.34,0.18,0.5,180.00,
1414696044836,-1.00,0.00,-11.19,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.53,1.01,2.78,False,5,0,0,750.00,System,0.19,0.12,0.5,180.00,
1414696045043,1.00,0.00,-6.99,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.12,1.02,1.93,False,6,0,0,750.00,System,0.15,0.09,0.5,180.00,
